Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
121,PHO,2024-11-12,120,@,UTA,W 120-112,240,43,86,0.5,25,47,0.532,18,39,0.462,16,22,0.727,120,45,92,0.489,30,54,0.556,15,38,0.395,7,9,0.778,112
122,GSW,2024-11-12,120,,DAL,W 120-117,240,45,94,0.479,31,53,0.585,14,41,0.341,16,27,0.593,120,44,84,0.524,33,50,0.66,11,34,0.324,18,24,0.75,117
123,DAL,2024-11-10,120,@,DEN,L 120-122,240,48,90,0.533,38,57,0.667,10,33,0.303,14,19,0.737,120,45,89,0.506,31,60,0.517,14,29,0.483,18,26,0.692,122
124,BRK,2024-11-01,120,,CHI,W 120-112,240,49,94,0.521,38,58,0.655,11,36,0.306,11,13,0.846,120,38,88,0.432,21,44,0.477,17,44,0.386,19,24,0.792,112
125,CLE,2024-11-01,120,,ORL,W 120-109,240,44,87,0.506,29,49,0.592,15,38,0.395,17,20,0.85,120,41,90,0.456,30,57,0.526,11,33,0.333,16,24,0.667,109
126,ATL,2024-10-30,120,@,WAS,L 120-133,240,45,95,0.474,33,56,0.589,12,39,0.308,18,21,0.857,120,47,89,0.528,31,51,0.608,16,38,0.421,23,25,0.92,133
127,DAL,2024-10-29,120,@,MIN,W 120-114,240,45,93,0.484,29,54,0.537,16,39,0.41,14,18,0.778,120,39,77,0.506,20,38,0.526,19,39,0.487,17,26,0.654,114
128,CHO,2024-10-25,120,@,ATL,L 120-125,240,37,96,0.385,16,45,0.356,21,51,0.412,25,31,0.806,120,39,81,0.481,25,43,0.581,14,38,0.368,33,38,0.868,125
129,DAL,2024-10-24,120,,SAS,W 120-109,240,42,102,0.412,23,58,0.397,19,44,0.432,17,23,0.739,120,39,86,0.453,27,50,0.54,12,36,0.333,19,24,0.792,109
130,ATL,2024-10-23,120,,BRK,W 120-116,240,39,80,0.488,30,52,0.577,9,28,0.321,33,46,0.717,120,40,91,0.44,23,48,0.479,17,43,0.395,19,25,0.76,116
131,IND,2024-11-17,119,,MIA,W 119-110,240,44,85,0.518,31,56,0.554,13,29,0.448,18,20,0.9,119,36,90,0.4,17,47,0.362,19,43,0.442,19,20,0.95,110
132,OKC,2024-11-17,119,,DAL,L 119-121,240,43,87,0.494,29,45,0.644,14,42,0.333,19,25,0.76,119,40,84,0.476,29,57,0.509,11,27,0.407,30,36,0.833,121
133,CLE,2024-11-11,119,@,CHI,W 119-113,240,43,97,0.443,28,52,0.538,15,45,0.333,18,24,0.75,119,43,87,0.494,29,49,0.592,14,38,0.368,13,16,0.813,113
134,CHI,2024-11-07,119,,MIN,L 119-135,240,47,88,0.534,32,52,0.615,15,36,0.417,10,15,0.667,119,51,93,0.548,35,55,0.636,16,38,0.421,17,17,1,135
135,DAL,2024-11-06,119,,CHI,W 119-99,240,45,93,0.484,33,55,0.6,12,38,0.316,17,21,0.81,119,36,86,0.419,24,44,0.545,12,42,0.286,15,23,0.652,99
136,TOR,2024-11-04,119,@,DEN,L 119-121,240,47,103,0.456,34,64,0.531,13,39,0.333,12,18,0.667,119,41,83,0.494,31,52,0.596,10,31,0.323,29,38,0.763,121
137,MIN,2024-11-01,119,,DEN,W 119-116,240,43,83,0.518,25,41,0.61,18,42,0.429,15,18,0.833,119,41,92,0.446,30,60,0.5,11,32,0.344,23,29,0.793,116
138,LAC,2024-10-31,119,,PHO,L 119-125,240,45,93,0.484,33,58,0.569,12,35,0.343,17,21,0.81,119,42,82,0.512,24,43,0.558,18,39,0.462,23,28,0.821,125
